#t         x          y          z          vx         vy         vz         
      0.000   -377.740    611.470   -284.630     73.540    -71.970     49.090
      0.071   -372.470    606.250   -281.080     73.440    -75.130     51.450
      0.143   -367.160    600.890   -277.560     74.980    -77.030     50.620
      0.214   -361.780    595.430   -274.000     74.820    -77.660     51.370
      0.286   -356.450    589.880   -270.490     71.650    -80.330     51.340
      0.357   -351.210    584.130   -266.990     70.880    -82.250     49.800
      0.429   -346.130    578.250   -263.530     67.770    -82.140     46.740
      0.500   -341.240    572.250   -260.160     67.540    -83.130     44.830
      0.571   -336.480    566.200   -256.790     66.120    -83.160     44.410
      0.643   -331.950    560.190   -253.490     63.060    -83.690     44.510
      0.714   -327.740    554.310   -250.330     58.150    -82.100     43.750
      0.786   -323.810    548.520   -247.270     52.380    -80.790     43.550
      0.857   -320.210    542.950   -244.340     45.500    -75.030     41.820
      0.929   -316.810    537.650   -241.460     45.840    -71.710     40.050
      1.000   -313.520    532.560   -238.410     44.570    -69.040     43.640
      1.071   -310.300    527.680   -235.150     43.150    -65.920     48.670
      1.143   -307.040    523.000   -231.640     46.110    -64.180     49.990
      1.214   -303.740    518.440   -227.890     47.590    -63.680     55.490
      1.286   -300.370    513.990   -223.900     47.540    -61.200     57.700
      1.357   -296.780    509.670   -219.800     51.890    -61.060     59.350
      1.429   -292.980    505.290   -215.530     55.190    -63.150     63.040
      1.500   -288.910    500.850   -211.090     58.580    -62.400     62.610
      1.571   -284.640    496.360   -206.570     60.810    -63.610     64.370
      1.643   -280.170    491.760   -201.910     64.340    -64.650     65.170
      1.714   -275.500    487.010   -197.100     69.790    -67.940     66.240
      1.786   -270.560    482.150   -192.190     74.550    -69.500     68.710
      1.857   -265.410    477.220   -187.250     75.720    -70.650     69.890
      1.929   -260.030    472.210   -182.250     78.410    -72.760     71.710
      2.000   -254.480    467.060   -177.250     79.350    -73.980     71.390
      2.071   -248.730    461.670   -172.170     82.670    -78.110     72.360
      2.143   -242.750    456.050   -166.990     84.590    -79.890     72.910
      2.214   -236.600    450.220   -161.740     87.090    -81.950     72.960
      2.286   -230.350    444.280   -156.420     90.050    -83.480     72.410
      2.357   -223.980    438.160   -151.090     92.400    -87.450     72.120
      2.429   -217.620    431.770   -145.790     89.140    -91.720     72.320
      2.500   -211.240    425.150   -140.500     90.270    -93.860     72.380
      2.571   -204.720    418.300   -135.170     92.570    -96.770     73.910
      2.643   -198.150    411.300   -129.820     92.090    -97.450     74.190
      2.714   -191.500    404.240   -124.440     93.250    -98.550     73.100
      2.786   -184.710    397.000   -119.040     94.360   -101.380     75.540
      2.857   -177.840    389.600   -113.520     95.540   -104.030     77.890
      2.929   -170.860    381.960   -107.890     95.840   -106.330     77.590
      3.000   -163.850    374.060   -102.170     96.420   -111.160     79.410
      3.071   -156.730    365.880    -96.310     99.660   -113.960     82.160
      3.143   -149.420    357.480    -90.330    101.460   -118.260     83.480
      3.214   -142.020    348.770    -84.290    103.240   -122.430     84.100
      3.286   -134.490    339.670    -78.090    105.430   -129.290     88.020
      3.357   -126.780    330.100    -71.720    110.340   -136.050     89.920
      3.429   -118.780    320.110    -65.370    113.720   -144.690     88.270
      3.500   -110.540    309.430    -59.140    117.010   -157.840     88.380
      3.571   -102.110    297.850    -52.970    118.250   -170.440     90.680
      3.643    -93.420    285.350    -46.920    121.800   -182.860     86.200
      3.714    -84.420    271.680    -41.120    125.280   -201.130     81.520
      3.786    -75.320    256.430    -35.660    125.650   -228.000     73.170
      3.857    -66.410    239.080    -30.960    123.170   -260.850     54.260
      3.929    -58.460    219.130    -28.210     96.210   -298.780     12.220
      4.000    -53.530    197.840    -29.520     42.350   -285.780    -52.150
      4.071    -51.900    179.350    -34.040     13.590   -229.880    -68.310
      4.143    -51.160    164.460    -38.680     15.160   -184.880    -58.900
      4.214    -49.470    153.320    -43.610     24.540   -158.560    -41.310
      4.286    -48.070    142.930    -46.030     26.280   -135.660    -26.640
      4.357    -46.680    133.970    -47.250     26.480   -116.060    -15.000
      4.429    -45.580    126.340    -47.910     22.410    -99.280     -6.420
      4.500    -44.460    119.910    -48.180     22.620    -83.770     -0.830
      4.571    -43.240    114.450    -48.180     20.360    -67.640      3.980
      4.643    -41.910    108.940    -46.720     14.840    -54.530      8.850
      4.714    -40.870    105.450    -45.970     14.100    -43.900     14.010
      4.786    -39.790    102.820    -45.040     14.450    -31.670     13.880
      4.857    -38.710    100.980    -43.970     15.980    -21.440     17.050
      4.929    -37.520     99.860    -42.810     17.120    -11.490     17.770
      5.000    -36.210     99.370    -41.530     18.760     -3.430     21.500
      5.071    -34.720     99.450    -40.050     20.560      5.170     25.400
      5.143    -33.050    100.110    -38.260     23.220     13.300     29.010
      5.214    -31.280    101.330    -36.140     25.270     19.650     33.590
      5.286    -29.380    103.080    -33.730     26.880     28.880     37.670
      5.357    -27.250    105.500    -31.090     30.810     37.820     41.390
      5.429    -24.930    108.550    -28.060     34.490     46.830     46.530
      5.500    -22.460    112.270    -24.640     38.050     56.100     51.310
      5.571    -19.750    116.870    -20.780     42.940     70.380     58.820
      5.643    -16.680    122.590    -16.410     49.190     86.680     68.990
      5.714    -12.970    129.620    -11.320     60.710    110.310     79.900
      5.786     -8.210    138.640     -5.080     81.030    146.700     99.680
      5.857     -0.400    150.700      3.260    196.100    148.160    134.720
      5.929     10.530    156.770      9.180    120.520     19.560     63.750
      6.000     17.610    157.870     12.170     51.620     -6.830     39.210
      6.071     21.810    156.340     14.020      8.370    -21.710     20.950
      6.143     23.900    152.800     15.340    -15.540    -52.200      8.390
      6.214     24.050    147.080     16.040    -53.130   -116.820    -20.850
      6.286     24.660    141.290     15.930     56.330      0.720     49.020
      6.357     27.320    139.790     17.930     36.100     -8.680     49.140
      6.429     29.500    138.240     20.020     30.130    -27.840     41.160
      6.500     31.180    136.120     21.900     36.680    -35.150     39.570
      6.571     32.760    134.300     24.360     37.980    -26.350     47.720
      6.643     34.570    132.730     26.940     41.090    -26.470     43.440
      6.714     36.880    131.140     29.410     42.710    -27.070     41.140
      6.786     39.520    129.410     31.780     39.110    -34.460     29.920
      6.857     42.110    127.490     34.060     39.620    -33.280     27.960
      6.929     44.600    125.430     36.310     39.520    -33.090     27.770
      7.000     47.070    123.130     38.450     38.630    -34.680     26.110
      7.071     49.490    120.670     40.280     33.060    -34.460     14.360
      7.143     51.960    118.260     41.910     34.080    -30.460     15.260
      7.214     54.490    116.110     43.630     34.040    -28.000     14.270
      7.286     57.080    114.170     45.290     35.750    -27.910     14.990
      7.357     59.690    112.380     46.960     36.360    -22.870     21.040
      7.429     62.240    110.710     48.540     34.940    -23.780     19.700
      7.500     64.870    109.090     50.070     36.690    -23.200     21.460
      7.571     67.510    107.540     51.660     36.360    -20.920     23.980
      7.643     70.210    106.100     53.200     35.740    -20.580     21.630
      7.714     72.850    104.590     54.630     31.340    -20.280     21.740
      7.786     75.470    103.200     56.060     32.260    -17.560     21.160
      7.857     78.140    101.880     57.550     30.870    -19.620     18.860
      7.929     80.780    100.530     59.050     32.200    -19.040     17.370
      8.000     83.390     99.150     60.660     34.910    -18.350     20.680
      8.071     85.860     97.820     62.440     35.010    -18.180     23.460
      8.143     88.200     96.560     64.350     34.250    -15.270     25.370
      8.214     90.440     95.370     66.260     34.240    -15.970     27.080
      8.286     92.660     94.070     68.180     35.290    -19.240     30.840
      8.357     94.960     92.700     70.270     37.590    -19.910     34.960
      8.429     97.370     91.120     72.330     35.700    -24.760     32.360
      8.500     99.850     89.320     74.320     35.430    -27.160     31.730
      8.571    102.480     87.390     76.290     36.140    -28.560     29.500
      8.643    105.070     85.320     78.150     32.010    -33.010     24.420
      8.714    107.440     83.220     80.010     30.710    -30.670     24.120
      8.786    109.830     81.290     81.920     33.370    -27.360     23.850
      8.857    112.170     79.370     83.730     32.820    -28.120     21.140
      8.929    114.350     77.390     85.380     31.190    -26.500     19.030
      9.000    116.490     75.400     87.010     31.430    -26.250     19.900
      9.071    118.540     73.370     88.670     29.740    -24.810     20.880
      9.143    120.510     71.370     90.320     29.920    -24.360     20.740
      9.214    122.490     69.360     91.890     30.590    -25.160     19.240
      9.286    124.450     67.360     93.310     30.580    -25.520     19.390
      9.357    126.460     65.460     94.760     30.430    -24.150     21.980
      9.429    128.460     63.730     96.150     27.710    -23.580     20.400
      9.500    130.400     62.120     97.450     25.540    -19.540     22.190
      9.571    132.360     60.790     98.850     25.830    -14.990     22.560
      9.643    134.460     59.710    100.400     28.740    -12.890     23.570
      9.714    136.730     58.750    102.170     30.770    -13.790     24.050
      9.786    139.110     57.840    104.100     33.150    -14.950     24.750
      9.857    141.600     56.900    106.140     34.110    -18.320     26.210
      9.929    144.060     55.860    108.310     34.610    -20.990     30.490
     10.000    146.510     54.770    110.530     35.750    -20.650     31.250
     10.071    148.980     53.620    112.730     34.390    -19.380     32.100
