#t         x          y          z          vx         vy         vz         
     10.143    151.510     52.370    114.840     32.530    -19.240     32.860
     10.214    154.080     50.990    116.880     33.810    -18.940     30.970
     10.286    156.750     49.440    118.910     34.270    -19.930     30.160
     10.357    159.460     47.780    121.030     35.340    -21.520     28.840
     10.429    162.150     46.030    123.250     34.760    -23.750     27.590
     10.500    164.740     44.130    125.440     32.420    -29.160     24.730
     10.571    167.110     42.060    127.450     30.770    -31.860     19.720
     10.643    169.270     40.030    129.210     29.660    -30.100     19.200
     10.714    171.220     38.120    130.810     30.010    -26.350     18.130
     10.786    173.020     36.320    132.230     27.660    -23.390     18.530
     10.857    174.680     34.590    133.510     26.940    -20.570     18.360
     10.929    176.300     33.030    134.780     28.210    -17.350     22.140
     11.000    178.020     31.630    136.170     30.930    -14.160     24.930
     11.071    179.910     30.320    137.600     29.830    -17.980     25.640
     11.143    181.880     28.920    139.130     29.580    -19.560     28.630
     11.214    183.950     27.550    140.740     28.660    -19.510     28.990
     11.286    186.110     26.290    142.400     28.810    -18.030     28.270
     11.357    188.380     25.010    144.080     30.190    -21.370     27.500
